[2015-10-17 16:51:22] name.WARNING: Foo [] []
[2015-10-17 16:51:22] name.ERROR: Bar [] []
[2015-10-17 13:51:50] name.WARNING: Foo [] []
[2015-10-17 13:51:50] name.ERROR: Bar [] []
[2015-10-17 13:52:11] name.WARNING: Foo [] []
[2015-10-17 13:52:11] name.ERROR: Bar [] []
[2015-10-17 13:54:23] name.INFO: Foo [] []
[2015-10-17 14:09:10] name.INFO: Acessou /hello [] []
[2015-10-17 14:09:12] name.INFO: Acessou /hello [] []
[2015-10-17 14:09:12] name.INFO: Acessou /hello [] []
[2015-10-17 14:09:13] name.INFO: Acessou /hello [] []
[2015-10-17 14:09:13] name.INFO: Acessou /hello [] []
[2015-10-17 14:11:03] name.INFO: Acessou /hello/jonata [] []
[2015-10-17 14:11:04] name.INFO: Acessou /hello/jonata [] []
[2015-10-17 14:11:05] name.INFO: Acessou /hello/jonata [] []
[2015-10-17 14:11:10] name.INFO: Acessou /hello/joao [] []
[2015-10-17 14:11:14] name.INFO: Acessou /hello/maria [] []
[2015-10-17 14:12:17] name.INFO: Acessou /hello/maria [] []
[2015-10-17 14:12:21] name.INFO: Acessou /hello/joao [] []
[2015-10-17 14:12:24] name.INFO: Acessou /hello/salvador [] []
[2015-10-17 14:31:07] name.INFO: Acessou /hello/jonata [] []
[2015-10-17 14:32:55] name.INFO: Acessou /hello/jonata [] []
[2015-10-17 14:33:40] name.INFO: Acessou /hello/jonata [] []
[2015-10-17 14:34:20] name.INFO: Acessou /hello/jonata [] []
[2015-10-17 14:44:00] name.INFO: Acessou /hello/jonata [] []
[2015-10-17 14:45:02] name.INFO: Acessou /hello/jonata [] []
[2015-10-17 14:45:47] name.INFO: Acessou /hello/jonata [] []
[2015-10-17 14:46:27] name.INFO: Acessou /hello/jonata [] []
[2015-10-17 14:49:14] name.INFO: Acessou /hello/jonata [] []
[2015-10-17 14:49:53] name.INFO: Acessou /hello/jonata [] []
[2015-10-17 14:50:53] name.INFO: Acessou /hello/jonata [] []
[2015-10-17 14:51:15] name.INFO: Acessou /hello/jonata [] []
[2015-10-17 14:51:31] name.INFO: Acessou /hello/jonata [] []
